Commune;nbr
Fontaines-sur-Saône 69270;  700
Fontenay-aux-Roses 92260; 2 020
Fontenay-le-Comte 85200; 1 430
Fontenay-le-Fleury 78330; 1 190
Fontenay-sous-Bois 94120; 5 750
Fontenay-Trésigny 77610;  470
Fontenilles 31470;  370
Forbach 57600; 3 500
Forcalquier 04300;  670
Fort-de-France 97200; 14 160
Fosses 95470; 1 000
Fos-sur-Mer 13270; 1 660
Fouesnant 29170;  720
Fougères 35300; 2 540
Foulayronnes 47510;  440
Fouquières-lès-Lens 62740;  790
Fourmies 59610; 2 100
Francheville 69340; 1 180
Franconville 95130; 3 780
Franqueville-Saint-Pierre 76520;  440
Fréjus 83600; 7 680
Fresnes 94260; 2 640
Fresnes-sur-Escaut 59970; 1 110
Freyming-Merlebach 57800; 1 830
Frontignan 34110; 2 920
Fronton 31620;  590
Frouard 54390;  770
Frouzins 31270;  920
Fumel 47500;  660
Furiani 20600;  450
Fuveau 13710;  810
Gagny 93220; 4 840
Gaillac 81600; 2 120
Gaillard 74240; 1 550
Gaillon 27600; 1 010
Gambsheim 67760;  330
Gan 64290;  440
Gannat 03800;  670
Gap 05000; 4 300
Garches 92380; 1 320
Gardanne 13120; 2 580
Garéoult 83136;  530
Gargenville 78440;  800
Garges-lès-Gonesse 95140; 5 650
Garons 30128;  610
Gauchy 02430;  670
Geispolsheim 67400;  580
Gémenos 13420;  490
Genas 69740;  800
Genay 69730;  460
Genlis 21110;  460
Gennes-Val-de-Loire 49350;  860
Gennevilliers 92230; 6 720
Gentilly 94250; 2 290
Gérardmer 88400;  740
Gerzat 63360; 1 220
Gévezé 35850;  500
Gex 01170; 1 420
Gien 45500; 1 900
Gières 38610;  540
Gif-sur-Yvette 91190; 1 160
Gigean 34770;  750
Gignac 34150;  800
Gignac-la-Nerthe 13180; 1 070
Gisors 27140; 1 460
Givet 08600;  830
Givors 69700; 3 200
Gleizé 69400;  750
Golbey 88190; 1 100
Gond-Pontouvre 16160;  750
Gonesse 95500; 3 810
Gonfreville-l'Orcher 76700; 1 280
Gorges 44190;  350
Gouesnou 29850;  430
Gourbeyre 97113; 1 360
Gournay-en-Bray 76220;  690
Gournay-sur-Marne 93460;  540
Goussainville 95190; 4 410
Gouvieux 60270;  590
Goyave 97128; 1 460
Grabels 34790; 1 130
Gradignan 33170; 2 300
Grand-Bourg 97112;  840
Grand-Champ 56390;  400
Grandchamps-des-Fontaines 44119;  440
Grand-Charmont 25200;  890
Grand-Couronne 76530; 1 350
Grande-Synthe 59760; 3 340
Grand-Fort-Philippe 59153;  530
Grand-Santi 97340;  410
Grans 13450;  560
Granville 50400; 1 360
Grasse 06130; 5 000
Graulhet 81300; 1 970
Gravelines 59820; 1 220
Gray 70100;  770
Grenade 31330;  980
Grenay 62160;  990
Grenoble 38000; 18 800
Gretz-Armainvilliers 77220;  890
Grézieu-la-Varenne 69290;  500
Grigny 69520; 1 080
